,Category,Rating,Installs
0,LIFESTYLE,4.1,1112571.0
1,BUSINESS,4.1,1429999.0
2,SHOPPING,4.1,4685837.0
3,HEALTH_AND_FITNESS,4.1,3337230.0
4,PERSONALIZATION,4.1,2744486.0
5,BEAUTY,4.1,293342.0
6,MEDICAL,4.1,119964.0
7,VIDEO_PLAYERS,4.0,8539667.0
8,WEATHER,4.0,1858696.0
9,PARENTING,4.0,670786.0
10,PRODUCTIVITY,4.0,5391429.0
11,FAMILY,4.0,1896547.0
12,TOOLS,4.0,5065315.0
13,TRAVEL_AND_LOCAL,4.0,14609541.0
14,SPORTS,4.0,4328645.0
15,NEWS_AND_MAGAZINES,4.0,1686869.0
16,PHOTOGRAPHY,4.0,10871674.0
17,SOCIAL,4.0,7420408.0
18,ART_AND_DESIGN,4.0,2132200.0
19,GAME,4.0,15116917.0
20,AUTO_AND_VEHICLES,4.0,947584.0
21,LIBRARIES_AND_DEMO,4.0,797712.0
22,HOUSE_AND_HOME,4.0,1397040.0
23,FOOD_AND_DRINK,4.0,3269212.0
24,FINANCE,4.0,1232499.0
25,EVENTS,4.0,315871.0
26,ENTERTAINMENT,4.0,8946774.0
27,EDUCATION,4.0,1714902.0
28,COMMUNICATION,4.0,18226115.0
29,COMICS,4.0,698733.0
30,BOOKS_AND_REFERENCE,4.0,2056820.0
31,DATING,3.9,1166630.0
32,MAPS_AND_NAVIGATION,3.8,1728462.0
