,Category,Installs
6,COMMUNICATION,18226115.0
17,GAME,15116917.0
24,TRAVEL_AND_LOCAL,14609541.0
22,PHOTOGRAPHY,10871674.0
9,ENTERTAINMENT,8946774.0
30,VIDEO_PLAYERS,8539667.0
20,SOCIAL,7420408.0
27,PRODUCTIVITY,5391429.0
25,TOOLS,5065315.0
21,SHOPPING,4685837.0
23,SPORTS,4328645.0
13,HEALTH_AND_FITNESS,3337230.0
12,FOOD_AND_DRINK,3269212.0
26,PERSONALIZATION,2744486.0
0,ART_AND_DESIGN,2132200.0
3,BOOKS_AND_REFERENCE,2056820.0
18,FAMILY,1896547.0
29,WEATHER,1858696.0
32,MAPS_AND_NAVIGATION,1728462.0
8,EDUCATION,1714902.0
31,NEWS_AND_MAGAZINES,1686869.0
4,BUSINESS,1429999.0
14,HOUSE_AND_HOME,1397040.0
11,FINANCE,1232499.0
7,DATING,1166630.0
16,LIFESTYLE,1112571.0
1,AUTO_AND_VEHICLES,947584.0
15,LIBRARIES_AND_DEMO,797712.0
5,COMICS,698733.0
28,PARENTING,670786.0
10,EVENTS,315871.0
2,BEAUTY,293342.0
19,MEDICAL,119964.0
