,Unnamed: 0,Unnamed: 0.1,App,Category,Rating,Reviews,Size,Installs,Price,Content Rating
5187,5187,6783,Wifi BT Scanner,18,5.0,2,1.2,500,0.0,0
6483,6483,8550,Diabetes mellitus (DM) from zero to hero,19,4.9,18,3.0,1000,0.0,0
1836,1836,2490,My Cancer Coach,19,4.3,44,34.0,10000,0.0,0
2346,2346,3189,Cheapflights – Flight Search,24,4.4,47780,19.0,5000000,0.0,0
3651,3651,4773,X-Plane to GPS,25,4.2,161,1.2,5000,0.99,0
5537,5537,7331,"OurHome – chores, rewards, groceries and calendar",18,4.3,3146,22.571652379544755,100000,0.0,0
2852,2852,3756,Loop - Caribbean Local News,31,4.0,4332,12.0,1000000,0.0,0
6247,6247,8237,dB Sound Meter,25,4.1,29,2.3,5000,0.0,0
7909,7909,10428,My Truck,25,2.5,247,8.2,10000,0.0,0
96,96,98,Hush - Beauty for Everyone,2,4.7,18900,17.0,500000,0.0,0
3103,3103,4103,Synd e-Passbook,11,4.3,9400,6.1,1000000,0.0,0
6036,6036,7955,HOW TO WRITE A CV,4,4.1,489,20.0,100000,0.0,0
7933,7933,10455,[root] Pry-Fi,25,3.9,6736,22.571652379544755,500000,0.0,0
2449,2449,3311,Scientific Calculator Free,25,4.3,16395,22.571652379544755,1000000,0.0,0
7581,7581,9987,eCooltra: scooter sharing. Share electric scooters,24,4.2,2822,27.0,100000,0.0,0
7362,7362,9687,Masha and the Bear: Good Night!,18,4.6,29155,83.0,1000000,0.0,0
1826,1826,2459,Anatomy & Physiology Vocabulary Exam Review App,19,5.0,1,4.6,5,0.0,0
7858,7858,10341,FE CPS,11,3.0,62,17.0,10000,0.0,0
1904,1904,2578,Periscope - Live Video,20,4.0,479908,15.0,10000000,0.0,3
7442,7442,9791,ES Material Theme for Pro,27,4.2,14428,1.2,1000000,0.0,0
5998,5998,7915,Freedom CU,11,3.6,117,25.0,10000,0.0,0
6857,6857,9024,Retro City Rampage DX,17,4.7,416,16.0,10000,2.99,1
3166,3166,4188,Geometry Dash Lite,17,4.5,6181640,58.0,100000000,0.0,0
6541,6541,8646,Kung Fu Do Fighting,17,4.0,271214,22.571652379544755,10000000,0.0,1
2804,2804,3706,SVT Play,30,3.7,11549,22.571652379544755,1000000,0.0,1
1905,1905,2579,Quora,20,4.5,313633,22.571652379544755,10000000,0.0,1
3389,3389,4463,P Launcher for Android™ 9.0,26,3.9,35,6.3,5000,0.0,0
7035,7035,9256,Kiamichi EC,25,4.6,7,3.9,1000,0.0,0
4858,4858,6314,The Daily BJ,13,4.8,38,24.0,500,0.0,0
6418,6418,8471,Eyewitness Travel Phrase Book,18,3.8,10,25.0,1000,0.0,0
3081,3081,4062,Broken Screen Prank,18,3.3,23682,9.8,1000000,0.0,1
2465,2465,3328,"Emoji keyboard - Cute Emoticons, GIF, Stickers",25,4.4,1107320,25.0,50000000,0.0,0
2685,2685,3576,My baby Piano,28,3.9,17941,22.571652379544755,5000000,0.0,0
1309,1309,1689,Hill Climb Racing,17,4.4,8923587,63.0,100000000,0.0,0
5470,5470,7215,Depths of Betrayal CE (Full),18,4.3,363,14.0,1000,2.99,2
5072,5072,6614,Blood Pressure Tracker,19,4.0,11,1.8,1000,0.0,0
5521,5521,7309,Best CG views,18,4.2,4,2.5,100,0.0,1
7831,7831,10301,"FD Calculator (EMI, SIP, RD & Loan Eligilibility)",11,5.0,104,2.3,1000,0.0,0
5811,5811,7683,"Talking Pictures: Autism, CP",19,3.9,22,22.571652379544755,5000,0.0,0
3540,3540,4647,Wii U Simulator,18,3.4,1178,38.0,100000,0.0,2
4782,4782,6205,Baldur's Gate II,18,4.3,5442,16.0,50000,9.99,1
4532,4532,5890,Graffiti Letters (A-Z),16,3.9,386,7.9,50000,0.0,0
2239,2239,3034,PGA TOUR LIVE,23,3.4,1845,12.0,100000,0.0,0
1462,1462,1952,TEKKEN™,17,4.2,147791,38.0,5000000,0.0,1
4153,4153,5413,Princess Closet : Otome games free dating sim,18,4.5,29495,56.0,1000000,0.0,1
4325,4325,5622,World at War: WW2 Strategy MMO,18,4.3,107765,78.0,5000000,0.0,2
2350,2350,3194,easyJet: Travel App,24,4.4,134895,50.0,10000000,0.0,0
3214,3214,4251,J-Novel Club,18,3.3,162,9.0,10000,0.0,1
2021,2021,2733,FidMe Loyalty Cards & Deals at Grocery Supermarket,21,4.2,33758,22.571652379544755,1000000,0.0,0
7282,7282,9576,Narcos: Cartel Wars,18,4.7,244797,52.0,5000000,0.0,1
5308,5308,6980,Mini Motor Racing WRT,17,4.2,107497,22.571652379544755,1000000,0.0,0
444,444,530,"Meet4U - Chat, Love, Singles!",7,4.2,40035,6.5,1000000,0.0,3
7197,7197,9471,Luxury Car Simulator,18,3.9,35989,46.0,1000000,0.0,0
7018,7018,9230,EC - Encumbrance Search - telangana state,4,3.4,45,5.5,10000,0.0,0
7060,7060,9287,EF Spelling Bee,18,3.0,2,9.4,500,0.0,0
5983,5983,7899,Radiological Anatomy For FRCR1,19,4.8,12,44.0,100,6.99,0
3867,3867,5012,AE Order,25,4.1,19,22.571652379544755,1000,0.0,0
6065,6065,7985,Resume Maker / CV creator & Templates,25,4.2,54,22.0,5000,0.0,0
716,716,949,MTV,9,3.8,35279,15.0,1000000,0.0,1
4727,4727,6119,Random Love (BF),18,3.7,3,10.0,50,0.0,0
8167,8167,10803,Fatal Raid - No.1 Mobile FPS,17,4.3,56496,81.0,1000000,0.0,1
5064,5064,6604,BP Log lite,16,5.0,3,1.5,100,0.0,0
1414,1414,1839,Monument Valley 2,17,4.6,9394,33.0,100000,4.99,0
578,578,760,Learn JavaScript,8,4.6,25183,5.4,1000000,0.0,0
6227,6227,8212,Scale Models DB,25,4.4,9,33.0,50,2.99,0
460,460,563,Mutual - LDS Dating,7,3.7,1439,38.0,50000,0.0,3
3605,3605,4721,W-History Standalone,20,3.2,38,1.5,1000,0.99,0
3312,3312,4376,m.ride - your motorcycle app,1,4.5,189,16.0,10000,0.0,0
1319,1319,1699,Sniper 3D Gun Shooter: Free Shooting Games - FPS,17,4.6,7671249,22.571652379544755,100000000,0.0,3
2957,2957,3887,CompTIA A+ Pocket Prep,18,4.3,1311,14.0,10000,0.0,0
2528,2528,3391,Romantic Love Photo Frames,26,4.4,18918,12.0,5000000,0.0,0
1883,1883,2557,"Free Messages, Video, Chat,Text for Messenger Plus",20,4.3,6086,3.1,1000000,0.0,1
4046,4046,5292,Shoot M-16 vs AK-47 : realistic weapon simulator,18,3.0,2,33.0,100,0.0,0
1985,1985,2690,Magazine Luiza Online Shopping,21,4.3,109124,22.0,10000000,0.0,0
8142,8142,10771,FQ METER,27,3.9,17,2.4,1000,0.0,0
1763,1763,2347,Super Hearing Super Ear Amplifier,19,4.1,21,20.0,1000,0.0,0
1087,1087,1402,Calorie Counter & Diet Tracker,13,4.5,32606,22.571652379544755,1000000,0.0,0
1239,1239,1609,justWink Greeting Cards,16,4.6,69177,15.0,1000000,0.0,1
5000,5000,6514,BN Pro LcdD Legacy Text,15,3.9,71,22.571652379544755,10000,0.0,0
432,432,518,Just She - Top Lesbian Dating,7,1.9,953,19.0,100000,0.0,3
2597,2597,3465,Microsoft OneNote,27,4.4,480643,22.571652379544755,100000000,0.0,0
1021,1021,1315,Map My Ride GPS Cycling Riding,13,4.5,106547,54.0,1000000,0.0,0
2586,2586,3454,Google Drive,27,4.4,2731171,22.571652379544755,1000000000,0.0,0
2206,2206,2989,GollerCepte Live Score,23,4.2,9992,31.0,1000000,0.0,0
507,507,646,chat saudi arabia,7,4.1,11,11.0,1000,0.0,3
7550,7550,9948,HondaLink EV,25,2.8,44,41.0,10000,0.0,0
6581,6581,8691,Profile Pictures and DP for Whatsapp,20,4.3,48,11.0,5000,0.0,0
2573,2573,3441,BIG Launcher,26,4.3,881,5.9,10000,9.99,0
2143,2143,2906,Lapse It • Time Lapse • Pro,22,4.3,12865,6.9,100000,2.99,0
7449,7449,9798,"ES File Explorer & Manager, Locker Xplorer 2018",25,3.5,11,3.0,1000,0.0,0
2513,2513,3376,"Keyboard - wallpapers , photos",26,4.4,55525,22.0,10000000,0.0,0
3869,3869,5014,AE 3D MOTOR :Racing Games Free,17,4.2,74902,22.571652379544755,5000000,0.0,0
527,527,705,Princess Coloring Book,8,4.5,9770,39.0,5000000,0.0,0
7923,7923,10445,Wi-Fi Auto-connect,6,3.8,15036,22.571652379544755,1000000,0.0,0
3471,3471,4569,S Player - Lightest and Most Powerful Video Player,25,4.6,14224,7.1,1000000,0.0,0
6231,6231,8216,DB LINK RGB,25,2.7,7,5.2,500,0.0,0
7943,7943,10465,Portable Wi-Fi hotspot Free,6,4.0,1711,2.1,100000,0.0,0
